Instance,KM+TO Time 1,KM+TO+KN+Solver Time 1,KM+TO Distance 1,KN+Solver Distance 1,Vehicles 1,KM+TO Time 2,KM+TO+KN+Solver Time 2,KM+TO Distance 2,KN+Solver Distance 2,Vehicles 2,KM+TO Time 3,KM+TO+KN+Solver Time 3,KM+TO Distance 3,KN+Solver Distance 3,Vehicles 3,KM+TO Time 4,KM+TO+KN+Solver Time 4,KM+TO Distance 4,KN+Solver Distance 4,Vehicles 4,KM+TO Time 5,KM+TO+KN+Solver Time 5,KM+TO Distance 5,KN+Solver Distance 5,Vehicles 5,KM+TO Time 6,KM+TO+KN+Solver Time 6,KM+TO Distance 6,KN+Solver Distance 6,Vehicles 6,KM+TO Time 7,KM+TO+KN+Solver Time 7,KM+TO Distance 7,KN+Solver Distance 7,Vehicles 7,KM+TO Time 8,KM+TO+KN+Solver Time 8,KM+TO Distance 8,KN+Solver Distance 8,Vehicles 8,KM+TO Time 9,KM+TO+KN+Solver Time 9,KM+TO Distance 9,KN+Solver Distance 9,Vehicles 9,KM+TO Time 10,KM+TO+KN+Solver Time 10,KM+TO Distance 10,KN+Solver Distance 10,Vehicles 10,KM+TO Time,KM+TO+KN+Solver Time
R202,0.003,0.037,532,495,2,0.003,0.041,532,495,2,0.003,0.037,532,495,2,0.003,0.033,560,502,2,0.003,0.032,560,502,2,0.003,0.033,560,502,2,0.003,0.033,560,502,2,0.003,0.038,532,495,2,0.003,0.039,532,495,2,0.003,0.035,560,502,2,0.003,0.036
R203,0.004,0.063,607,517,2,0.004,0.061,607,517,2,0.004,0.062,607,517,2,0.004,0.061,607,517,2,0.004,0.061,607,517,2,0.004,0.062,607,517,2,0.004,0.062,607,517,2,0.004,0.063,607,517,2,0.004,0.063,607,517,2,0.004,0.062,607,517,2,0.004,0.062
R204,0.008,60.022,549,393,1,0.008,60.023,549,393,1,0.008,60.022,549,393,1,0.007,60.022,549,393,1,0.007,60.022,549,393,1,0.008,60.023,549,393,1,0.008,60.022,549,393,1,0.008,60.022,549,393,1,0.007,60.022,549,393,1,0.007,60.022,549,393,1,0.008,60.022
R205,0.004,0.039,498,427,2,0.005,0.039,473,473,2,0.005,0.045,469,436,2,0.004,0.037,473,473,2,0.005,0.037,473,473,2,0.004,0.041,473,473,2,0.005,0.048,469,436,2,0.004,0.037,498,427,2,0.004,0.039,498,427,2,0.005,0.048,469,436,2,0.005,0.041
R206,0.005,0.138,463,413,2,0.005,0.137,463,413,2,0.005,0.119,452,437,2,0.005,0.124,452,437,2,0.005,0.122,452,437,2,0.005,0.123,452,437,2,0.005,0.121,452,437,2,0.005,0.139,463,413,2,0.006,0.14,463,413,2,0.005,0.121,452,437,2,0.005,0.128
R207,0.004,0.438,570,383,2,0.004,0.439,570,383,2,0.004,0.589,570,383,2,0.004,0.436,570,383,2,0.004,0.437,570,383,2,0.004,0.585,570,383,2,0.004,0.591,570,383,2,0.004,0.584,570,383,2,0.004,0.435,570,383,2,0.004,0.435,570,383,2,0.004,0.497
R208,0.023,60.037,422,333,1,0.023,60.037,422,333,1,0.023,60.037,422,333,1,0.023,60.038,422,333,1,0.023,60.038,422,333,1,0.023,60.038,422,333,1,0.023,60.038,422,333,1,0.023,60.037,422,333,1,0.023,60.038,422,333,1,0.023,60.037,422,333,1,0.023,60.037
R209,0.005,0.133,435,415,2,0.006,0.128,435,415,2,0.006,0.128,435,415,2,0.006,0.127,435,415,2,0.006,0.129,435,415,2,0.006,0.129,435,415,2,0.005,0.129,435,415,2,0.006,0.13,435,415,2,0.006,0.13,435,415,2,0.006,0.13,435,415,2,0.006,0.129
R210,0.006,0.048,544,486,2,0.006,0.052,544,486,2,0.003,0.082,647,567,2,0.003,0.078,647,567,2,0.003,0.077,647,567,2,0.003,0.078,647,567,2,0.003,0.079,647,567,2,0.006,0.049,544,486,2,0.006,0.048,544,486,2,0.006,0.048,544,486,2,0.004,0.064
R211,0.006,0.729,356,356,2,0.006,0.733,356,356,2,0.006,0.729,356,356,2,0.006,1.425,371,356,2,0.006,1.437,371,356,2,0.006,0.723,356,356,2,0.006,1.442,371,356,2,0.006,0.725,356,356,2,0.006,1.432,371,356,2,0.006,0.724,356,356,2,0.006,1.01
RC201,0.003,0.027,598,598,2,0.002,0.027,569,569,2,0.003,0.031,610,610,2,0.003,0.029,610,610,2,0.003,0.029,610,610,2,0.002,0.028,610,610,2,0.002,0.028,569,569,2,0.002,0.027,610,610,2,0.002,0.026,610,610,2,0.002,0.029,569,569,2,0.003,0.028
RC202,0.005,0.054,481,444,2,0.005,0.053,481,444,2,0.004,0.049,543,505,2,0.004,0.054,543,505,2,0.005,0.057,481,444,2,0.004,0.051,543,505,2,0.004,0.05,543,505,2,0.004,0.049,543,505,2,0.004,0.05,543,505,2,0.004,0.051,543,505,2,0.005,0.052
RC203,0.014,0.156,481,481,1,0.014,0.155,481,481,1,0.014,0.159,481,481,1,0.015,0.16,481,481,1,0.014,0.16,481,481,1,0.014,0.155,481,481,1,0.015,0.155,481,481,1,0.014,0.159,481,481,1,0.014,0.164,481,481,1,0.014,0.154,481,481,1,0.014,0.158
RC204,0.016,0.398,338,335,1,0.016,0.404,338,335,1,0.016,0.399,338,335,1,0.016,0.398,338,335,1,0.016,0.4,338,335,1,0.016,0.398,338,335,1,0.016,0.397,338,335,1,0.016,0.396,338,335,1,0.016,0.4,338,335,1,0.016,0.399,338,335,1,0.016,0.399
RC205,0.005,0.041,516,516,2,0.004,0.04,516,516,2,0.005,0.041,516,516,2,0.005,0.043,516,516,2,0.004,0.04,516,516,2,0.004,0.041,516,516,2,0.005,0.04,516,516,2,0.004,0.036,516,516,2,0.005,0.036,516,516,2,0.004,0.04,516,516,2,0.005,0.04
RC206,0.005,0.03,493,493,2,0.005,0.032,493,493,2,0.006,0.036,447,447,2,0.006,0.035,447,447,2,0.004,0.034,450,450,2,0.004,0.033,450,450,2,0.005,0.035,493,493,2,0.004,0.033,450,450,2,0.005,0.03,493,493,2,0.004,0.035,450,450,2,0.005,0.033
RC207,0.009,0.1,347,347,2,0.009,0.064,347,347,2,0.009,0.067,347,347,2,0.009,0.073,347,347,2,0.009,0.073,347,347,2,0.009,0.068,347,347,2,0.009,0.091,347,347,2,0.009,0.069,347,347,2,0.009,0.065,347,347,2,0.009,0.094,347,347,2,0.009,0.076
RC208,0.007,8.847,299,293,2,0.007,2.803,297,297,2,0.007,8.705,299,293,2,0.006,8.834,299,293,2,0.006,8.716,299,293,2,0.007,2.802,297,297,2,0.006,8.726,299,293,2,0.007,2.803,297,297,2,0.007,8.83,299,293,2,0.006,8.828,299,293,2,0.007,6.989
