Instance,KM+TO Time 1,KM+TO+KN+Solver Time 1,KM+TO Distance 1,KN+Solver Distance 1,Vehicles 1,KM+TO Time 2,KM+TO+KN+Solver Time 2,KM+TO Distance 2,KN+Solver Distance 2,Vehicles 2,KM+TO Time 3,KM+TO+KN+Solver Time 3,KM+TO Distance 3,KN+Solver Distance 3,Vehicles 3,KM+TO Time 4,KM+TO+KN+Solver Time 4,KM+TO Distance 4,KN+Solver Distance 4,Vehicles 4,KM+TO Time 5,KM+TO+KN+Solver Time 5,KM+TO Distance 5,KN+Solver Distance 5,Vehicles 5,KM+TO Time 6,KM+TO+KN+Solver Time 6,KM+TO Distance 6,KN+Solver Distance 6,Vehicles 6,KM+TO Time 7,KM+TO+KN+Solver Time 7,KM+TO Distance 7,KN+Solver Distance 7,Vehicles 7,KM+TO Time 8,KM+TO+KN+Solver Time 8,KM+TO Distance 8,KN+Solver Distance 8,Vehicles 8,KM+TO Time 9,KM+TO+KN+Solver Time 9,KM+TO Distance 9,KN+Solver Distance 9,Vehicles 9,KM+TO Time 10,KM+TO+KN+Solver Time 10,KM+TO Distance 10,KN+Solver Distance 10,Vehicles 10,KM+TO Time,KM+TO+KN+Solver Time
R209,0.166,0.421,844,797,3,0.157,0.439,844,797,3,0.162,0.458,844,797,3,0.156,0.436,844,797,3,0.161,0.44,844,797,3,0.157,0.436,844,797,3,0.156,0.437,844,797,3,0.155,0.435,844,797,3,0.158,0.459,844,797,3,0.157,0.463,844,797,3,0.159,0.442
R210,0.152,0.379,875,868,3,0.151,0.356,875,868,3,0.154,0.39,875,868,3,0.155,0.36,875,868,3,0.155,0.348,875,868,3,0.154,0.343,875,868,3,0.154,0.354,875,868,3,0.158,0.39,875,868,3,0.155,0.391,875,868,3,0.154,0.359,875,868,3,0.154,0.367
R211,0.021,6.592,698,590,3,0.062,39.119,757,648,2,0.02,6.542,698,590,3,0.062,39.406,757,648,2,0.062,39.159,757,648,2,0.02,6.53,698,590,3,0.062,39.355,757,648,2,0.158,16.069,698,590,3,0.02,6.508,698,590,3,0.021,6.562,698,590,3,0.051,20.584
RC201,0.149,0.324,1134,1133,3,0.145,0.333,1152,1151,3,0.151,0.338,1152,1151,3,0.145,0.333,1152,1151,3,0.15,0.339,1152,1151,3,0.145,0.331,1152,1151,3,0.149,0.337,1152,1151,3,0.145,0.317,1134,1133,3,0.143,0.318,1134,1133,3,0.143,0.327,1134,1133,3,0.147,0.33
RC202,0.013,0.224,1015,1004,3,0.013,0.237,1015,1004,3,0.013,0.224,1015,1004,3,0.014,0.265,1005,994,3,0.013,0.25,1015,1004,3,0.013,0.245,1015,1004,3,0.015,0.233,1005,994,3,0.014,0.232,1005,994,3,0.014,0.229,1005,994,3,0.013,0.242,1015,1004,3,0.014,0.238
RC203,0.023,0.756,884,884,3,0.025,0.757,884,884,3,0.023,0.75,884,884,3,0.022,0.757,884,884,3,0.022,0.759,884,884,3,0.024,0.754,884,884,3,0.024,0.744,884,884,3,0.024,0.755,884,884,3,0.024,0.743,884,884,3,0.023,0.742,884,884,3,0.024,0.752
RC204,0.033,60.108,618,630,2,0.041,60.114,618,630,2,0.044,60.119,618,630,2,0.051,60.126,618,630,2,0.042,60.117,618,630,2,0.034,60.108,618,630,2,0.041,60.115,618,630,2,0.034,60.108,618,630,2,0.049,60.123,618,630,2,0.041,60.115,618,630,2,0.041,60.115
RC205,0.176,0.395,1163,1163,3,0.168,0.392,1163,1163,3,0.175,0.399,1163,1163,3,0.171,0.392,1163,1163,3,0.167,0.385,1163,1163,3,0.167,0.387,1163,1163,3,0.17,0.398,1163,1163,3,0.167,0.388,1163,1163,3,0.168,0.389,1163,1163,3,0.169,0.385,1163,1163,3,0.17,0.391
RC206,0.024,0.233,927,927,3,0.017,0.219,1017,1017,3,0.022,0.235,927,927,3,0.017,0.225,1017,1017,3,0.022,0.23,927,927,3,0.021,0.242,1027,1027,3,0.021,0.235,1027,1027,3,0.017,0.225,1017,1017,3,0.022,0.232,927,927,3,0.017,0.223,1017,1017,3,0.02,0.23
RC207,0.024,0.268,935,935,3,0.026,0.347,863,863,3,0.024,0.243,935,935,3,0.025,0.246,935,935,3,0.025,0.241,935,935,3,0.027,0.354,863,863,3,0.024,0.235,935,935,3,0.025,0.236,935,935,3,0.025,0.239,935,935,3,0.025,0.237,935,935,3,0.025,0.265
RC208,0.167,49.107,763,695,3,0.164,48.799,763,695,3,0.168,60.265,763,695,3,0.166,60.265,763,695,3,0.166,57.735,763,695,3,0.163,50.154,763,695,3,0.165,48.443,763,695,3,0.164,50.138,763,695,3,0.164,57.88,763,695,3,0.165,50.291,763,695,3,0.165,53.308
