Instance,KM+TO Time 1,KM+TO+KN+Solver Time 1,KM+TO Distance 1,KN+Solver Distance 1,Vehicles 1,KM+TO Time 2,KM+TO+KN+Solver Time 2,KM+TO Distance 2,KN+Solver Distance 2,Vehicles 2,KM+TO Time 3,KM+TO+KN+Solver Time 3,KM+TO Distance 3,KN+Solver Distance 3,Vehicles 3,KM+TO Time 4,KM+TO+KN+Solver Time 4,KM+TO Distance 4,KN+Solver Distance 4,Vehicles 4,KM+TO Time 5,KM+TO+KN+Solver Time 5,KM+TO Distance 5,KN+Solver Distance 5,Vehicles 5,KM+TO Time 6,KM+TO+KN+Solver Time 6,KM+TO Distance 6,KN+Solver Distance 6,Vehicles 6,KM+TO Time 7,KM+TO+KN+Solver Time 7,KM+TO Distance 7,KN+Solver Distance 7,Vehicles 7,KM+TO Time 8,KM+TO+KN+Solver Time 8,KM+TO Distance 8,KN+Solver Distance 8,Vehicles 8,KM+TO Time 9,KM+TO+KN+Solver Time 9,KM+TO Distance 9,KN+Solver Distance 9,Vehicles 9,KM+TO Time 10,KM+TO+KN+Solver Time 10,KM+TO Distance 10,KN+Solver Distance 10,Vehicles 10,KM+TO Time,KM+TO+KN+Solver Time
C101,0.002,0.194,365,365,5,0.002,0.193,365,365,5,0.002,0.191,365,365,5,0.002,0.195,365,365,5,0.002,0.195,365,365,5,0.002,0.202,365,365,5,0.002,0.19,365,365,5,0.002,0.187,365,365,5,0.002,0.194,365,365,5,0.002,0.199,365,365,5,0.002,0.194
C102,0.003,0.239,419,402,5,0.003,0.237,419,402,5,0.003,0.24,419,402,5,0.003,0.241,419,402,5,0.003,0.241,419,402,5,0.003,0.24,419,402,5,0.003,0.239,419,402,5,0.003,0.234,419,402,5,0.003,0.24,419,402,5,0.003,0.239,419,402,5,0.003,0.239
C103,0.005,0.452,473,465,5,0.005,0.468,473,465,5,0.005,0.471,473,465,5,0.005,0.457,473,465,5,0.005,0.45,473,465,5,0.004,0.452,473,465,5,0.004,0.452,473,465,5,0.006,0.468,473,465,5,0.005,0.456,473,465,5,0.005,0.455,473,465,5,0.005,0.458
C104,0.009,60.157,478,442,5,0.009,60.162,478,442,5,0.01,60.162,478,442,5,0.008,60.159,478,442,5,0.01,60.161,478,442,5,0.01,60.163,478,442,5,0.013,60.163,478,442,5,0.01,60.161,478,442,5,0.007,60.16,478,442,5,0.01,60.16,478,442,5,0.01,60.161
C105,0.005,0.239,385,385,6,0.011,0.238,400,400,6,0.003,0.195,365,365,5,0.003,0.225,395,395,6,0.003,0.227,388,388,6,0.002,0.201,365,365,5,0.003,0.231,395,395,6,0.003,0.186,365,365,5,0.004,0.227,388,388,6,0.002,0.187,365,365,5,0.004,0.216
C106,0.002,0.212,365,365,5,0.004,0.236,388,388,6,0.004,0.247,435,435,6,0.003,0.248,385,385,6,0.004,0.234,435,435,6,0.003,0.234,385,385,6,0.003,0.232,398,398,6,0.004,0.25,385,385,6,0.002,0.205,365,365,5,0.002,0.206,365,365,5,0.003,0.23
C107,0.003,0.194,365,365,5,0.002,0.192,365,365,5,0.003,0.201,365,365,5,0.003,0.199,365,365,5,0.003,0.201,365,365,5,0.003,0.193,365,365,5,0.002,0.197,365,365,5,0.003,0.194,365,365,5,0.003,0.196,365,365,5,0.003,0.192,365,365,5,0.003,0.196
C108,0.006,7.151,432,429,6,0.005,5.217,432,429,6,0.005,6.978,432,429,6,0.006,5.797,432,429,6,0.006,6.182,432,429,6,0.006,7.292,432,429,6,0.006,7.092,432,429,6,0.004,10.734,432,429,6,0.005,11.409,432,429,6,0.005,8.04,432,429,6,0.005,7.589
C109,0.003,60.159,365,365,5,0.003,60.149,365,365,5,0.003,60.153,365,365,5,0.003,60.152,365,367,5,0.003,60.151,365,365,5,0.003,60.15,365,365,5,0.003,60.16,365,365,5,0.003,60.15,365,365,5,0.003,60.149,365,365,5,0.003,60.151,365,367,5,0.003,60.152
R101,0.433,0.86,1159,1159,12,0.418,0.851,1162,1162,12,0.427,0.836,1159,1159,12,0.423,0.831,1090,1090,12,0.425,0.833,1108,1106,12,0.424,0.835,1159,1159,12,0.427,0.852,1159,1159,12,0.422,0.844,1159,1159,12,0.42,0.85,1159,1159,12,0.422,0.839,1159,1159,12,0.424,0.843
R102,0.368,0.783,1066,1066,10,0.364,0.765,1034,1034,10,0.365,0.766,1074,1074,10,0.363,0.78,1055,1055,10,0.364,0.775,1050,1050,10,0.362,0.744,1034,1034,10,0.365,0.767,1034,1034,10,0.362,0.744,1039,1039,10,0.364,0.747,1074,1074,10,0.366,0.78,1050,1050,10,0.364,0.765
R103,0.348,0.906,984,973,8,0.352,0.909,984,973,8,0.349,0.908,984,973,8,0.325,0.903,924,883,9,0.329,0.847,946,925,9,0.341,0.889,984,973,8,0.344,0.9,984,973,8,0.346,0.898,984,973,8,0.349,0.893,984,973,8,0.341,0.941,924,883,9,0.342,0.899
R104,0.012,0.69,832,801,7,0.015,0.726,818,790,7,0.013,0.521,776,742,7,0.371,1.02,813,785,8,0.01,0.725,808,777,7,0.012,0.638,788,754,7,0.01,0.553,813,785,7,0.012,0.637,788,754,7,0.01,0.515,776,742,7,0.01,0.645,788,754,7,0.048,0.667
R105,0.366,0.763,1028,1028,10,0.364,0.765,1028,1028,10,0.368,0.804,1008,1008,10,0.331,0.727,1147,1147,9,0.367,0.8,1027,1027,10,0.365,0.81,1006,1006,10,0.366,0.768,1028,1028,10,0.365,0.767,1113,1113,10,0.33,0.723,998,998,9,0.365,0.761,1028,1028,10,0.359,0.769
R106,0.016,0.357,911,911,9,0.303,0.693,1064,1064,8,0.018,0.456,945,945,9,0.02,0.456,945,945,9,0.011,0.376,919,919,9,0.011,0.405,911,911,9,0.01,0.377,967,967,9,0.301,0.639,889,876,8,0.01,0.368,967,967,9,0.303,0.64,889,876,8,0.1,0.477
R107,0.303,0.873,801,801,8,0.312,0.889,801,801,8,0.009,0.523,808,808,7,0.305,0.733,816,816,8,0.006,0.519,808,808,7,0.011,0.522,808,808,7,0.306,0.877,801,801,8,0.008,0.52,808,808,7,0.007,0.398,814,808,7,0.007,0.527,823,823,7,0.127,0.638
R108,0.017,2.568,844,780,7,0.016,2.542,844,780,7,0.409,1.431,808,793,7,0.015,2.543,844,780,7,0.426,1.218,794,779,7,0.016,2.547,844,780,7,0.43,1.351,833,765,7,0.424,1.16,802,793,7,0.413,0.995,821,821,7,0.426,1.103,856,804,7,0.259,1.746
R109,0.014,0.57,967,931,9,0.01,0.483,967,931,9,0.019,0.484,936,919,9,0.013,0.465,936,919,9,0.342,0.906,966,929,9,0.342,0.819,992,958,9,0.336,0.944,990,974,9,0.363,0.899,964,924,9,0.022,0.504,967,931,9,0.029,0.568,936,919,9,0.149,0.664
R110,0.343,1.079,935,928,9,0.014,1.425,898,816,9,0.339,1.245,896,818,9,0.337,0.979,944,944,9,0.34,1.132,902,836,9,0.013,1.084,940,873,9,0.008,0.719,932,900,9,0.007,0.492,973,973,8,0.011,0.883,924,881,9,0.338,1.099,898,898,9,0.175,1.014
R111,0.01,0.728,906,838,8,0.012,0.827,906,838,8,0.34,0.791,951,944,8,0.318,0.907,877,852,8,0.008,0.646,906,838,8,0.007,0.63,906,838,8,0.337,0.769,951,944,8,0.01,0.671,906,838,8,0.308,0.917,886,855,8,0.009,0.879,906,838,8,0.136,0.776
R112,0.015,56.65,772,753,8,0.011,15.41,786,774,8,0.313,1.517,849,830,8,0.31,2.063,790,754,8,0.012,41.459,783,753,8,0.007,60.228,784,765,8,0.017,60.252,783,753,8,0.308,1.196,799,785,8,0.011,23.435,786,774,8,0.011,60.23,772,753,8,0.102,32.244
RC101,0.008,0.451,1067,1061,9,0.009,0.419,1067,1061,9,0.008,0.388,1067,1061,9,0.01,0.445,1067,1061,9,0.01,0.399,1067,1061,9,0.007,0.421,1067,1061,9,0.01,0.42,1060,1060,9,0.011,0.552,1056,1049,11,0.011,0.463,1145,1139,10,0.01,0.477,1150,1144,10,0.009,0.444
RC102,0.3,0.984,921,912,8,0.309,0.99,921,912,8,0.298,0.978,921,912,8,0.332,2.47,928,927,9,0.299,1.17,910,900,8,0.3,0.967,921,912,8,0.3,1.066,910,900,8,0.294,0.971,910,900,8,0.295,1.176,917,907,8,0.295,1.07,921,912,8,0.302,1.184
RC103,0.339,1.361,747,747,6,0.33,1.348,747,747,6,0.337,1.125,795,795,6,0.31,0.949,853,849,7,0.316,0.941,853,849,7,0.311,0.771,901,897,7,0.332,1.354,747,747,6,0.331,1.118,795,795,6,0.337,1.346,747,747,6,0.335,1.36,747,747,6,0.328,1.168
RC104,0.009,60.205,772,766,7,0.008,60.205,772,766,7,0.01,60.21,772,766,7,0.008,60.207,772,766,7,0.008,60.209,772,766,7,0.009,60.203,772,766,7,0.01,60.207,772,766,7,0.007,60.201,772,766,7,0.009,60.204,772,766,7,0.01,60.205,772,766,7,0.009,60.206
RC105,0.01,6.992,1002,984,10,0.01,0.536,1030,1011,9,0.009,0.507,1032,1015,9,0.012,2.043,1002,984,10,0.007,0.48,1032,1015,9,0.007,0.531,1032,1015,9,0.011,2.143,1002,984,10,0.011,2.137,1002,984,10,0.012,6.377,1068,1047,11,0.01,3.823,1004,988,10,0.01,2.557
RC106,0.009,0.567,819,813,7,0.01,0.687,824,824,8,0.006,0.555,819,813,7,0.008,0.618,819,813,7,0.006,0.516,819,813,7,0.009,0.566,819,813,7,0.006,0.583,819,813,7,0.009,0.548,819,813,7,0.015,1.071,828,828,8,0.008,0.504,819,813,7,0.008,0.622
RC107,0.009,41.522,878,847,8,0.297,60.513,876,844,8,0.299,60.512,876,856,8,0.009,28.353,894,862,8,0.009,46.274,882,850,8,0.008,34.942,894,862,8,0.008,31.162,882,850,8,0.296,60.508,876,844,8,0.009,17.669,894,862,8,0.009,49.733,882,850,8,0.095,43.119
RC108,0.303,60.517,855,801,8,0.3,60.517,855,800,8,0.009,60.231,845,819,8,0.3,60.52,843,807,8,0.302,60.521,843,806,8,0.307,60.525,843,802,8,0.305,60.523,843,805,8,0.303,60.523,855,800,8,0.306,60.526,843,806,8,0.301,60.522,855,809,8,0.274,60.493
C201,0.003,0.113,490,490,2,0.003,0.109,490,490,2,0.003,0.111,490,490,2,0.003,0.104,490,490,2,0.003,0.112,490,490,2,0.003,0.108,490,490,2,0.003,0.111,490,490,2,0.003,0.107,490,490,2,0.003,0.115,490,490,2,0.003,0.112,490,490,2,0.003,0.11
C202,0.014,0.138,620,620,2,0.013,0.134,620,620,2,0.012,0.132,620,620,2,0.012,0.137,620,620,2,0.013,0.137,620,620,2,0.013,0.136,620,620,2,0.012,0.136,620,620,2,0.011,0.136,620,620,2,0.013,0.137,620,620,2,0.013,0.138,620,620,2,0.012,0.136
C203,0.779,0.987,594,594,2,0.766,0.982,590,589,2,0.786,1.008,792,790,2,0.79,0.993,594,594,2,0.766,0.968,594,594,2,0.802,1.005,594,594,2,0.787,1.012,792,790,2,0.797,1.019,792,790,2,0.787,1.01,792,790,2,0.781,0.986,594,594,2,0.784,0.997
C204,0.054,60.13,583,533,2,0.055,60.131,583,533,2,0.052,60.128,583,533,2,0.057,60.134,583,533,2,0.031,60.109,571,491,2,0.053,60.129,583,533,2,0.049,60.126,583,533,2,0.034,60.11,571,491,2,0.052,60.128,583,533,2,0.031,60.107,571,491,2,0.047,60.123
C205,0.009,0.159,442,442,2,0.009,0.159,442,442,2,0.009,0.154,442,442,2,0.009,0.158,442,442,2,0.009,0.156,442,442,2,0.009,0.158,442,442,2,0.009,0.163,442,442,2,0.009,0.157,442,442,2,0.009,0.157,442,442,2,0.009,0.158,442,442,2,0.009,0.158
C206,0.023,30.538,477,477,2,0.023,30.539,477,477,2,0.023,5.17,477,477,2,0.023,5.168,477,477,2,0.023,5.22,477,477,2,0.023,30.427,477,477,2,0.023,5.156,477,477,2,0.023,30.497,477,477,2,0.023,5.162,477,477,2,0.023,30.452,477,477,2,0.023,17.833
C207,0.032,60.102,447,444,2,0.032,60.104,447,444,2,0.032,60.103,447,444,2,0.032,60.102,447,444,2,0.032,60.103,447,444,2,0.032,60.102,447,444,2,0.032,60.105,447,444,2,0.032,60.103,447,444,2,0.032,60.103,447,444,2,0.032,60.103,447,444,2,0.032,60.103
C208,0.016,60.086,436,436,2,0.016,60.086,436,436,2,0.017,8.388,436,436,2,0.016,60.085,436,436,2,0.016,60.087,436,436,2,0.017,60.087,436,436,2,0.017,8.305,436,436,2,0.016,60.084,436,436,2,0.016,60.086,436,436,2,0.016,8.296,436,436,2,0.016,44.559
R201,0.011,0.151,994,994,3,0.011,0.16,994,994,3,0.011,0.148,994,994,3,0.011,0.156,994,994,3,0.011,0.149,994,994,3,0.011,0.156,994,994,3,0.011,0.151,994,994,3,0.011,0.157,994,994,3,0.011,0.164,994,994,3,0.011,0.157,994,994,3,0.011,0.155
R202,0.024,0.134,1015,1015,2,0.024,0.133,1015,1015,2,0.023,0.131,1015,1015,2,0.013,0.207,955,910,3,0.013,0.211,955,910,3,0.024,0.135,1015,1015,2,0.012,0.172,967,941,3,0.012,0.18,967,941,3,0.024,0.132,1015,1015,2,0.013,0.211,955,910,3,0.018,0.165
R203,0.038,0.316,1063,1042,2,0.033,0.313,1063,1042,2,0.033,0.661,1057,910,2,0.034,0.31,1063,1042,2,0.026,0.64,1057,910,2,0.037,0.312,1063,1042,2,0.033,0.646,1057,910,2,0.033,0.649,1057,910,2,0.035,0.644,1057,910,2,0.034,0.645,1057,910,2,0.034,0.513
R204,0.043,13.213,676,642,2,0.048,13.193,676,642,2,0.049,13.222,676,642,2,0.044,13.161,676,642,2,0.052,13.22,676,642,2,0.05,13.177,676,642,2,0.044,13.172,676,642,2,0.045,60.117,684,617,2,0.048,13.157,676,642,2,0.045,60.118,683,600,2,0.047,22.575
R205,0.015,0.233,849,839,3,0.015,0.206,881,881,3,0.015,0.24,849,839,3,0.015,0.227,876,876,3,0.015,0.204,881,881,3,0.016,0.236,896,896,3,0.015,0.23,881,881,3,0.016,0.227,896,896,3,0.016,0.227,896,896,3,0.015,0.23,881,881,3,0.015,0.226
R206,0.052,0.273,886,856,2,0.052,0.272,886,856,2,0.053,0.275,886,856,2,0.052,0.263,886,856,2,0.052,0.273,886,856,2,0.052,0.269,886,856,2,0.052,0.268,886,856,2,0.052,0.263,886,856,2,0.052,0.285,886,856,2,0.052,0.273,886,856,2,0.052,0.271
R207,0.041,1.651,926,908,2,0.038,1.345,920,902,2,0.039,1.347,920,902,2,0.038,1.37,920,902,2,0.037,1.354,920,902,2,0.038,1.632,926,908,2,0.041,1.369,920,902,2,0.037,1.628,926,908,2,0.61,0.975,853,812,2,0.037,1.356,920,902,2,0.096,1.403
R208,0.069,60.143,678,551,2,0.07,60.144,678,551,2,0.071,60.144,678,551,2,0.059,60.133,662,605,2,0.071,60.145,678,551,2,0.063,60.137,662,605,2,0.067,60.142,662,605,2,0.063,60.138,662,605,2,0.073,60.147,678,551,2,0.062,60.135,662,605,2,0.067,60.141
